Country,Status,Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP,Population, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling
Rwanda,Developing,59.3125,246.8125,20.75,5.636,20.19135344,96,505.875,14.75,32.0625,88.5,6.350666667,89.375,4.425,300.0180171,3735506.563,6.63125,6.65625,0.4176875,9.2875
Saint Kitts and Nevis,Developing,na,na,0,8.54,0,97,0,5.2,0,96,6.14,96,0.1,na,na,3.7,3.6,0.749,13.4
Saint Lucia,Developing,73.6,146.25,0,11.51133333,0,89.28571429,0,39.59375,0,84.875,6.922666667,83.8125,0.15,na,na,4.35,4.38125,0.66475,12.70625
Saint Vincent and the Grenadines,Developing,73.475,152.0625,0,6.11,0,93,0,41.99375,0,97.875,4.816,98.3125,0.28125,na,na,3.6625,3.6125,0.65725,13.18125
Samoa,Developing,73.61875,133.5625,0,2.704,254.597018,54.9375,0.5625,62.90625,0,57.25,5.325333333,62.9375,0.1,2121.620649,131440.125,0.2,0.16875,0.6784375,12.64375
San Marino,Developing,na,na,0,0.01,0,69,0,na,0,69,6.5,69,0.1,na,na,na,na,na,15.1
Sao Tome and Principe,Developing,65.1625,164.9375,0,4.191333333,52.31509421,83.30769231,0,20.85,0,90.5625,6.586,95.125,0.96875,771.0348343,108853.9375,6.6375,6.55625,0.52825,10.25625
Saudi Arabia,Developing,73.46875,52.125,8.625,0.074666667,838.5064003,96.8125,759.3125,55.3125,10,96.8125,3.924666667,96.875,0.1,10689.05295,na,7.35625,7.36875,0.782625,13.2875
Senegal,Developing,62.56875,174.1875,22.3125,0.309333333,21.48642622,86.41666667,3248.75,18.44375,36.625,75.4375,4.938,78.3125,0.53125,274.6111661,5413842.688,8.09375,7.9875,0.4325625,7.125
Serbia,Developing,73.95625,130.4375,1,8.682666667,464.744738,90.75,73.8125,52.1375,1.0625,94.625,6.198666667,93.3125,0.1,3674.542408,3608279.875,2.39375,2.425,0.7416875,13.53125
Seychelles,Developing,72.375,161.1875,0,6.201333333,466.8304219,98.6875,0.6875,28.40625,0,98.5,3.802,98.5,0.1,6496.302397,61543.8125,5.90625,6.3,0.6908125,12.90625
Sierra Leone,Developing,46.1125,357.8125,27.5625,3.154666667,29.10557859,83.44444444,673.875,18.30625,41.875,71.75,9.218,72.125,1.51875,271.5055613,3336264.563,7.68125,7.1,0.3618125,8.23125
Singapore,Developed,81.475,62,0,1.7625,2332.571759,95.875,85.75,25.90625,0,96.125,3.688,96.1875,0.1,32790.10591,na,2.125,2.06875,0.866875,13.98125
Slovakia,Developed,74.75,118.0625,0,10.47333333,0,98.5625,0.25,51.81875,0.125,98.4375,7.376,98.625,0.1,na,na,1.34375,1.425,0.8033125,14.35
Slovenia,Developed,79.73125,76.4375,0,10.75466667,1556.334545,na,6.0625,52.2,0,95.1875,8.855333333,95,0.1,11441.04438,401279.0625,1.76875,1.79375,0.8604375,16.475
Solomon Islands,Developing,67.7125,140.0625,0,0.800666667,112.0274156,78.625,0,39.175,0,87.75,6.267333333,75.375,0.1,801.9123832,329044.1875,1.24375,1.2625,0.48025,8.6375
Somalia,Developing,53.31875,316.75,49.875,0.01,0,42,5494.0625,18.6875,80.5625,29.8125,na,29.3125,0.8375,297.4733451,na,7.26875,7.08125,na,na
South Africa,Developing,57.5,412.75,48.6875,7.588666667,616.3596435,66.5,1506,38.15,69.8125,65.3125,8.306,70.1875,18.49375,4869.427044,29213839.47,9.175,11.075,0.6290625,12.89375
South Sudan,Developing,53.875,346.3125,27.75,na,8.241076938,31,315.75,na,43.25,44,2.71,47,3.69375,1092.233631,3750827.125,na,na,0.1316875,1.53125
Spain,Developed,82.06875,63.625,1.625,10.024,2332.680184,92.5,449.875,58.66875,1.875,96.75,8.536666667,96.75,0.1,17093.45974,26542854.13,0.6,0.5,0.8505625,16.35625
Sri Lanka,Developing,73.4,144.375,4,2.096,59.75360089,90.61538462,1420.4375,17.275,4.75,98.375,3.771333333,98.4375,0.1,1040.11019,10844.8125,15.325,15.36875,0.7251875,13.21875
Sudan,Developing,61.825,240.3125,64.625,1.458,97.69844267,72.36363636,3108,na,96.625,72.25,5.695333333,72.375,0.25,1192.797953,18046515.13,na,na,0.441,6.375
Suriname,Developing,70.08125,166,0,4.984,508.4940328,85.27272727,0,50.15625,0,78.25,6.662666667,82.5625,0.7625,4781.216822,190916.625,3.5125,3.45625,0.4810625,11.825
Swaziland,Developing,51.325,339,2.625,4.463333333,278.0997131,76,49.125,25.5,3.6875,89,7.308666667,83.75,32.94375,2165.090838,457303.0625,6.475,6.63125,0.5156875,10.35
Sweden,Developed,82.51875,59.1875,0,6.926666667,4438.163154,59.2,18.9375,56.25,0,98.3125,9.932666667,98.3125,0.1,29334.99064,5514868.313,1.35,1.30625,0.893125,15.86875
Switzerland,Developed,82.33125,55.75,0,10.338,9801.810377,na,397.5,51.4375,0,95.375,6.087333333,94.5625,0.1,57362.8746,5913241.813,0.5375,0.39375,0.9110625,15.39375
Syrian Arab Republic,Developing,70.85,139.625,8,0.804666667,39.29948563,64.125,295.6875,47.3125,9.5625,64.8125,3.946666667,48.4375,0.1,1087.435774,6741444.813,6.45,6.25625,0.6180625,10.98125
Tajikistan,Developing,66.65625,177.5625,10.6875,0.330666667,17.27719246,84.42857143,208.1875,33.1125,12.75,88.3125,5.648,89.25,0.25625,335.8417252,4751355,3.80625,3.85,0.5838125,10.68125
Thailand,Developing,73.08125,160.375,12.125,6.131333333,401.2599634,97,4311.9375,21.59375,14.125,98.3125,3.757333333,98.1875,0.3875,3494.781702,31170509.5,8.54375,8.7,0.6946875,12.55
The former Yugoslav republic of Macedonia,Developing,74.1125,60.8125,0,1.858666667,0,83.54545455,74.75,52.90625,0,95.5,7.536,94.875,0.1,na,na,2.43125,2.45625,0.45575,12.38125
Timor-Leste,Developing,64.75625,170.375,2.375,0.235333333,21.18752327,76,85.0625,14.55,3,63.21428571,1.646666667,64.21428571,0.1,551.7106493,460195.625,10.525,11.69375,0.517625,10.7
Togo,Developing,56.6625,311.3125,14.1875,0.947333333,23.70560409,76.625,532.5,17.99375,21.4375,67.1875,5.243333333,74.3125,3.8625,317.2040921,3722045.563,7.86875,7.7375,0.4459375,10.65
Tonga,Developing,72.53125,129.625,0,1.167333333,323.8093429,75.5,0.25,62.94375,0,76.875,5.206,70.3125,0.1,1981.555186,26589.8125,0.1,0.1,0.6988125,14.21875
Trinidad and Tobago,Developing,71.06875,163.375,0,6.044666667,559.314872,54.92857143,0,37.73125,0.25,76.4375,5.199333333,66.5,0.625,7741.74809,776133.125,6.1375,6.50625,0.753375,12.33125
Tunisia,Developing,74.35625,18.75,3.25,1.310666667,366.7412605,96.75,33.1875,48.25625,3.6875,97.6875,6.052666667,97.6875,0.1,3044.081488,3274493.188,6.40625,6.3375,0.692625,14.05625
Turkey,Developing,73.9125,98.375,26.9375,1.421333333,253.4171775,87.0625,5272.9375,56.4125,32.25,80.8125,5.618,80.75,0.1,3983.917722,33501352.81,5.0125,4.85,0.7033125,12.675
Turkmenistan,Developing,64.61875,214.8125,6.5625,2.654666667,187.7819876,97.28571429,15.125,38.11875,8.0625,95.5625,2.828666667,96.375,0.1,2511.61154,2635550.188,3.3375,3.3625,0.211625,9.83125
Tuvalu,Developing,na,na,0,0.01,78.28120317,9,0,79.3,0,9,16.61,9,0.1,3542.13589,1819,0.2,0.1,na,0
Uganda,Developing,55.70625,300.1875,89.6875,8.050666667,47.69210835,63.42857143,12394.625,15.525,138.875,65.4375,8.542,64.875,7.65,421.0484963,15540587.13,6.2625,6.25625,0.4453125,10.59375
Ukraine,Developing,69.9375,205.75,5.0625,7.369333333,169.4273302,54.625,5395.1875,50.89375,5.9375,81.4375,6.777333333,70,0.5375,1577.293329,10004933.25,2.575,2.675,0.7165625,14.60625
United Arab Emirates,Developing,75.7,67.0625,1,1.75,1886.73159,93.875,75.625,53.80625,1,95.0625,3.036666667,94.625,0.1,22110.36699,na,5.18125,4.96875,0.8195625,12.8125
United Kingdom of Great Britain and Northern Ireland,Developed,80.79375,70.375,3.625,11.13125,0,na,715.75,55.3875,4.0625,92.875,8.534,92.875,0.1,na,na,0.75,0.50625,na,na
United Republic of Tanzania,Developing,56.00625,304.4375,95.25,3.582666667,0,73.5,3348.5625,17.31875,143.1875,83.375,4.701333333,74.6875,7.275,na,na,7.425,7.35625,na,na
United States of America,Developed,78.0625,58.1875,26.1875,8.579333333,0,81.375,130.625,58.45,30.75,82.125,15.86333333,95.125,0.1,na,na,0.73125,0.60625,na,na
Uruguay,Developing,76.075,119.9375,0.5625,6.172666667,621.8389194,94.3125,0,52.925,0.75,94.25,8.75,89.125,0.1,7192.584875,2396771.125,1.6,1.54375,0.765625,15.23125
Uzbekistan,Developing,68.03125,184.8125,21.9375,1.608666667,44.37345026,95.64285714,208.4375,34.80625,25.6875,98.5625,5.638,98.4375,0.20625,651.0923589,903631.6875,3.14375,3.175,0.603,11.64375
Vanuatu,Developing,71.3875,137.875,0,0.806666667,282.3257459,56.125,20.875,44.25625,0,66.1875,3.928666667,59.0625,0.1,2000.245518,123096.1875,1.56875,1.49375,0.3675,10.56875
Venezuela (Bolivarian Republic of),Developing,73.3875,163,9.375,7.42,0,66.25,165,54.4875,10.75,74.6875,4.998666667,68.5,0.1,na,na,1.65,1.5625,0.7268125,12.7875
Viet Nam,Developing,74.775,126.5625,29.1875,3.087333333,0,87.53846154,4232.9375,11.1875,36.5,94.9375,5.977333333,91.75,0.14375,na,na,14.925,15.625,0.6270625,11.5125
Yemen,Developing,63.8625,211.8125,39.375,0.047333333,0,55.6875,2761.1875,33.4875,51.625,67.125,5.005333333,72.625,0.1,na,na,13.83125,13.75,0.4755,8.50625
Zambia,Developing,53.90625,354.3125,33.4375,2.239333333,89.65040685,69.81818182,6563.8125,17.45,52.375,64.375,5.824,74.25,11.93125,811.8118405,6260246.438,6.88125,6.7625,0.4984375,11.2125
Zimbabwe,Developing,50.4875,462.375,26.5625,4.482,20.36427146,70.5625,923,25.1375,40.8125,75.625,6.158666667,75.1875,23.2625,410.9801938,8021343.063,7.0125,6.9875,0.439125,9.825
